name,link,salary,min_salary,max_salary,currency,city,main_link
Программист Python,https://hh.ru/vacancy/37402770?query=python,"['от', '150', '000', 'руб.']",150000,,руб.,Москва,https://hh.ru
Backend Developer (Python),https://hh.ru/vacancy/37808186?query=python,"['60', '000', '90', '000', 'руб.']",60000,90000,руб.,Москва,https://hh.ru
Python developer удаленно,https://hh.ru/vacancy/37227093?query=python,"['150', '000', '200', '000', 'руб.']",150000,200000,руб.,Краснодар,https://hh.ru
Backend разработчик на python,https://hh.ru/vacancy/37962587?query=python,"['от', '80', '000', 'руб.']",80000,,руб.,Москва,https://hh.ru
Python-разработчик (Django),https://superjob.ru/vakansii/python-razrabotchik-34179289.html,"['до', '200', '000', 'руб.']",,200000,руб.,Москва,https://superjob.ru
Software / Solutions Architect with Python,https://superjob.ru/vakansii/software-34036604.html,,,,,Москва,https://superjob.ru
Преподаватель по курсу (Python для машинного обучения),https://superjob.ru/vakansii/prepodavatel-po-kursu-32448389.html,,,,,Москва,https://superjob.ru
Веб-программист Python,https://superjob.ru/vakansii/veb-programmist-python-34136472.html,,,,,Москва,https://superjob.ru
Python Developer,https://superjob.ru/vakansii/python-developer-34168955.html,"['160', '000', '—', '200', '000', 'руб.']",160000,—200,руб.,Москва,https://superjob.ru
Python developer,https://superjob.ru/vakansii/python-developer-34181571.html,"['150', '000', '—', '180', '000', 'руб.']",150000,—180,руб.,Москва,https://superjob.ru
Python developer,https://superjob.ru/vakansii/python-developer-34103348.html,"['180', '000', '—', '200', '000', 'руб.']",180000,—200,руб.,Москва,https://superjob.ru
Full-stack-веб-программист python/javascript,https://superjob.ru/vakansii/full-stack-veb-programmist-python-33998693.html,,,,,Москва,https://superjob.ru
PHP-программист,https://superjob.ru/vakansii/php-programmist-34186505.html,"['100', '000', '—', '120', '000', 'руб.']",100000,—120,руб.,Москва,https://superjob.ru
Аналитик данных (Data Analyst/Data Scientist),https://superjob.ru/vakansii/analitik-dannyh-34086302.html,,,,,Москва,https://superjob.ru
Специалист АСУ ТП,https://superjob.ru/vakansii/specialist-asu-tp-34139551.html,,,,,Москва,https://superjob.ru
"Системный администратор, IT-специалист",https://superjob.ru/vakansii/sistemnyj-administrator-34043930.html,"['от', '80', '000', 'руб.']",80000,,руб.,Москва,https://superjob.ru
Администратор приложений hadoop,https://superjob.ru/vakansii/administrator-prilozhenij-hadoop-34185710.html,,,,,Москва,https://superjob.ru
Ведущий системный администратор,https://superjob.ru/vakansii/veduschij-sistemnyj-administrator-33495886.html,,,,,Москва,https://superjob.ru
Разработчик СУБД Greenplum /PosgreSQL,https://superjob.ru/vakansii/razrabotchik-subd-greenplum-34093903.html,,,,,Москва,https://superjob.ru
Data Scientist,https://superjob.ru/vakansii/data-scientist-34106148.html,,,,,Москва,https://superjob.ru
Специалист сектора операционной эффективности ресурсов,https://superjob.ru/vakansii/specialist-sektora-operacionnoj-effektivnosti-resursov-31814280.html,"['от', '50', '000', 'руб.']",50000,,руб.,Москва,https://superjob.ru
Программист Linux,https://superjob.ru/vakansii/programmist-linux-34183164.html,"['100', '000', '—', '125', '000', 'руб.']",100000,—125,руб.,Москва,https://superjob.ru
Data Engineer,https://superjob.ru/vakansii/data-engineer-34099004.html,,,,,Москва,https://superjob.ru
DevOps/Linux-инженер,https://superjob.ru/vakansii/devops-34083636.html,"['от', '80', '000', 'руб.']",80000,,руб.,Москва,https://superjob.ru
Разработчик Python Backend,https://hh.ru/vacancy/37988131?query=python,"['от', '150', '000', 'руб.']",150000,,руб.,Москва,https://hh.ru
Senior/ Программист Python,https://hh.ru/vacancy/37951732?query=python,"['от', '150', '000', 'руб.']",150000,,руб.,Санкт-Петербург,https://hh.ru
Программист Python,https://hh.ru/vacancy/37983959?query=python,"['от', '100', '000', 'руб.']",100000,,руб.,Москва,https://hh.ru
Программист Python / С++,https://hh.ru/vacancy/37935113?query=python,"['от', '120', '000', 'руб.']",120000,,руб.,Воронеж,https://hh.ru
Python developer,https://hh.ru/vacancy/36267290?query=python,"['150', '000', '200', '000', 'руб.']",150000,200000,руб.,Санкт-Петербург,https://hh.ru
Python developer (удаленно),https://hh.ru/vacancy/37227127?query=python,"['150', '000', '200', '000', 'руб.']",150000,200000,руб.,Томск,https://hh.ru
Программист Python,https://hh.ru/vacancy/36541983?query=python,"['100', '000', '150', '000', 'руб.']",100000,150000,руб.,Екатеринбург,https://hh.ru
Junior Python Developer (разработчик),https://hh.ru/vacancy/37928725?query=python,,,,,Санкт-Петербург,https://hh.ru
Программист Python,https://hh.ru/vacancy/38122267?query=python,"['от', '120', '000', 'руб.']",120000,,руб.,Москва,https://hh.ru
"Full-stack разработчик (Python, JavaScript)",https://hh.ru/vacancy/38088239?query=python,"['70', '000', '180', '000', 'руб.']",70000,180000,руб.,Москва,https://hh.ru
Backend разработчик (Python),https://hh.ru/vacancy/37340422?query=python,"['от', '100', '000', 'руб.']",100000,,руб.,Ульяновск,https://hh.ru
Программист Python,https://hh.ru/vacancy/36774840?query=python,"['75', '000', '120', '000', 'руб.']",75000,120000,руб.,Севастополь,https://hh.ru
