name,salary_min,salary_max,salary_currency,link,site
Frontend - разработчик на Python,,,,https://krasnodar.hh.ru/vacancy/37990843?query=Python,https://krasnodar.hh.ru
Python Developer,,,,https://krasnodar.hh.ru/vacancy/38065880?query=Python,https://krasnodar.hh.ru
Senior Data Scientist,,,,https://krasnodar.hh.ru/vacancy/37935294?query=Python,https://krasnodar.hh.ru
Data scientist (Junior),,,,https://krasnodar.hh.ru/vacancy/38052159?query=Python,https://krasnodar.hh.ru
Data Scientist,,,,https://krasnodar.hh.ru/vacancy/37824260?query=Python,https://krasnodar.hh.ru
Back-End Python разработчик (Middle/Senior),,,,https://krasnodar.hh.ru/vacancy/38019682?query=Python,https://krasnodar.hh.ru
Python-разработчик системы защиты,,,,https://krasnodar.hh.ru/vacancy/37571622?query=Python,https://krasnodar.hh.ru
Начинающий backend-разработчик (Python),,,,https://krasnodar.hh.ru/vacancy/36774670?query=Python,https://krasnodar.hh.ru
Программист Python,,,,https://krasnodar.hh.ru/vacancy/38106530?query=Python,https://krasnodar.hh.ru
Data Scientist,,,,https://krasnodar.hh.ru/vacancy/37782747?query=Python,https://krasnodar.hh.ru
Python developer,,,,https://krasnodar.hh.ru/vacancy/36267290?query=Python,https://krasnodar.hh.ru
Python developer удаленно,,,,https://krasnodar.hh.ru/vacancy/37227093?query=Python,https://krasnodar.hh.ru
"Разработчик автоматических тестов GUI (Python, Squish)",,,,https://krasnodar.hh.ru/vacancy/38036578?query=Python,https://krasnodar.hh.ru
Python developer (удаленно),,,,https://krasnodar.hh.ru/vacancy/37227109?query=Python,https://krasnodar.hh.ru
Python developer (удаленно),,,,https://krasnodar.hh.ru/vacancy/37227127?query=Python,https://krasnodar.hh.ru
"Full-stack разработчик (Python, JavaScript)",,,,https://krasnodar.hh.ru/vacancy/38088239?query=Python,https://krasnodar.hh.ru
"Senior Data Security Engineer, Dublin Ireland",,,,https://krasnodar.hh.ru/vacancy/37653077?query=Python,https://krasnodar.hh.ru
